Company,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Location,site,State,Country
VKS RF,28/10/2009,15:30:00,Ares 1-X,Ares 1-X Test Flight,Retired,450,Success,LC-39B, Kennedy Space Center, Florida, USA
Arianespace,16/11/2009,19:28:00,Space Shuttle Atlantis,STS-129,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
VKS RF,23/11/2009,06:55:00,Atlas V 431,Intersat 14,Retired,130,Success,SLC-41, Cape Canaveral AFS, Florida, USA
VKS RF,06/12/2009,01:47:00,"Delta IV Medium+ (5,4)",WGS-3,Retired,,Success,SLC-37B, Cape Canaveral AFS, Florida, USA
Martin Marietta,14/12/2009,14:09:00,Delta II 7320-10C,WISE,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
CASC,08/02/2010,09:14:00,Space Shuttle Endeavour,STS-130,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
MHI,11/02/2010,15:23:00,Atlas V 401,SDO,Active,109,Success,SLC-41, Cape Canaveral AFS, Florida, USA
General Dynamics,04/03/2010,23:57:00,"Delta IV Medium+ (4,2)",GOES 15,Retired,164,Success,SLC-37B, Cape Canaveral AFS, Florida, USA
Northrop,05/04/2010,10:21:00,Space Shuttle Discovery,STS-131,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
Arianespace,22/04/2010,23:52:00,Atlas V 501,OTV-1,Retired,120,Success,SLC-41, Cape Canaveral AFS, Florida, USA
NASA,14/05/2010,18:20:00,Space Shuttle Atlantis,STS-132,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
VKS RF,28/05/2010,03:00:00,"Delta IV Medium+ (4,2)",GPS IIF-1,Retired,164,Success,SLC-37B, Cape Canaveral AFS, Florida, USA
NASA,04/06/2010,18:45:00,Falcon 9 v1.0,Flight 1,Retired,59.5,Success,SLC-40, Cape Canaveral AFS, Florida, USA
Lockheed,14/08/2010,11:07:00,Atlas V 531,AEHF-1,Active,140,Success,SLC-41, Cape Canaveral AFS, Florida, USA
Arianespace,21/09/2010,04:03:00,Atlas V 501,NROL-41,Retired,120,Success,SLC-3E, Vandenberg AFB, California, USA
VKS RF,26/09/2010,04:41:00,Minotaur IV,SBSS,Active,46,Success,SLC-8, Vandenberg AFB, California, USA
ISRO,06/11/2010,02:20:00,Delta II 7420-10C,COSMO-4,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
Arianespace,20/11/2010,01:25:00,Minotaur IV,STP-S26,Active,46,Success,LP-1, Pacific Spaceport Complex, Alaska, USA
Boeing,21/11/2010,22:58:00,Delta IV Heavy,NROL-32,Active,350,Success,SLC-37B, Cape Canaveral AFS, Florida, USA
VKS RF,08/12/2010,15:43:00,Falcon 9 v1.0,COTS-1,Retired,59.5,Success,SLC-40, Cape Canaveral AFS, Florida, USA
NASA,20/01/2011,21:10:00,Delta IV Heavy,NROL-49,Active,350,Success,SLC-6, Vandenberg AFB, California, USA
VKS RF,06/02/2011,12:26:00,Minotaur I,NROL-66,Active,40,Success,SLC-8, Vandenberg AFB, California, USA
VKS RF,24/02/2011,21:53:00,Space Shuttle Discovery,STS-133,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
VKS RF,04/03/2011,10:09:00,Minotaur C (Taurus),"Glory, KySat-1, Hermes, and Explorer-1 [PRIME]",Active,45,Failure,SLC-576E, Vandenberg AFB, California, USA
Lockheed,05/03/2011,22:46:00,Atlas V 501,OTV-2,Retired,120,Success,SLC-41, Cape Canaveral AFS, Florida, USA
CASC,11/03/2011,22:38:00,"Delta IV Medium+ (4,2)",NROL-27,Retired,164,Success,SLC-37B, Cape Canaveral AFS, Florida, USA
Arianespace,15/04/2011,04:24:00,Atlas V 411,NROL-34,Retired,115,Success,SLC-3E, Vandenberg AFB, California, USA
VKS RF,07/05/2011,18:10:00,Atlas V 401,SBIRS GEO-1,Active,109,Success,SLC-41, Cape Canaveral AFS, Florida, USA
