Company,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Location,site,State,Country
RVSN USSR,10/06/1978,08:35:00,Soyuz U,Cosmos 1021,Retired,,Success,Site 31/6, Baikonur Cosmodrome,, Kazakhstan
Roscosmos,30/10/1978,,Molniya-M /Block SO-L,Prognoz n†­7,Retired,,Success,Site 31/6, Baikonur Cosmodrome,, Kazakhstan
RVSN USSR,08/12/1978,09:30:00,Soyuz U,Cosmos 1060,Retired,,Success,Site 31/6, Baikonur Cosmodrome,, Kazakhstan
CECLES,25/01/1979,05:43:00,Vostok-2M,Meteor-Priroda n†­3,Retired,,Success,Site 31/6, Baikonur Cosmodrome,, Kazakhstan
RVSN USSR,18/04/1979,12:00:00,Tsyklon-2,Cosmos 1094,Retired,,Success,Site 90/19, Baikonur Cosmodrome,, Kazakhstan
RVSN USSR,25/04/1979,10:00:00,Tsyklon-2,Cosmos 1096,Retired,,Success,Site 90/19, Baikonur Cosmodrome,, Kazakhstan
RVSN USSR,14/03/1980,10:40:00,Tsyklon-2,Cosmos 1167,Retired,,Success,Site 90/20, Baikonur Cosmodrome,, Kazakhstan
General Dynamics,18/04/1980,00:51:00,Tsyklon-2,Cosmos 1174,Retired,,Success,Site 90/20, Baikonur Cosmodrome,, Kazakhstan
RVSN USSR,29/04/1980,11:40:00,Tsyklon-2,Cosmos 1176,Retired,,Success,Site 90/20, Baikonur Cosmodrome,, Kazakhstan
US Air Force,26/04/1967,10:06:00,Scout B,San Marco 2,Retired,,Success,SM Launch Tab, San Marco Launch Platform,, Kenya
RVSN USSR,12/12/1970,10:53:00,Scout B,Explorer 42,Retired,,Success,SM Launch Tab, San Marco Launch Platform,, Kenya
RVSN USSR,24/04/1971,07:32:00,Scout B,San Marco 3,Retired,,Success,Santa Rita 2, San Marco Launch Platform,, Kenya
RVSN USSR,15/11/1971,05:52:00,Scout B,Explorer 45,Retired,,Success,SM Launch Tab, San Marco Launch Platform,, Kenya
RVSN USSR,15/11/1972,22:13:00,Scout D1,Explorer 48,Retired,,Success,SM Launch Tab, San Marco Launch Platform,, Kenya
RVSN USSR,18/02/1974,10:05:00,Scout D1,San Marco 4,Retired,,Success,SM Launch Tab, San Marco Launch Platform,, Kenya
RVSN USSR,15/10/1974,07:47:00,Scout B1,Ariel 5,Retired,,Success,SM Launch Tab, San Marco Launch Platform,, Kenya
RVSN USSR,07/05/1975,22:45:00,Scout F1,Explorer 53,Retired,,Success,SM Launch Tab, San Marco Launch Platform,, Kenya
RVSN USSR,27/10/1961,16:30:00,Cosmos-2I (63S1),DS-1 1,Retired,,Failure,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,21/12/1961,12:30:00,Cosmos-2I (63S1),DS-1 2,Retired,,Failure,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,16/03/1962,11:59:00,Cosmos-2I (63S1),Cosmos 1,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,06/04/1962,17:15:00,Cosmos-2I (63S1),Cosmos 2,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,24/04/1962,04:00:00,Cosmos-2I (63S1),Cosmos 3,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,28/05/1962,03:00:00,Cosmos-2I (63S1),Cosmos 5,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
US Air Force,30/06/1962,16:00:00,Cosmos-2I (63S1),Cosmos 6,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,18/08/1962,15:00:00,Cosmos-2I (63S1),Cosmos 8,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,20/10/1962,04:00:00,Cosmos-2I (63S1),Cosmos 11,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,25/10/1962,07:00:00,Cosmos-2I (63S1),1MS #2,Retired,,Failure,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,06/04/1963,03:01:00,Cosmos-2I (63S1),DS-P1 #2,Retired,,Failure,Mayak-2, Kapustin Yar,, Russia
General Dynamics,13/04/1963,11:00:00,Cosmos-2I (63S1),Cosmos 14,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,22/05/1963,03:00:00,Cosmos-2I (63S1),Cosmos 17,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,01/06/1963,,Cosmos-2I (63S1),DS-MT #1,Retired,,Failure,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,06/08/1963,06:00:00,Cosmos-2I (63S1),Cosmos 19,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,22/08/1963,06:00:00,Cosmos-2I (63S1),DS-A1 #3,Retired,,Failure,Mayak-2, Kapustin Yar,, Russia
ISAS,24/10/1963,04:30:00,Cosmos-2I (63S1),DS-A1 #4,Retired,,Failure,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,13/12/1963,14:15:00,Cosmos-2I (63S1),Cosmos 23,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,27/02/1964,13:26:00,Cosmos-2I (63S1),Cosmos 25,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,18/03/1964,15:07:00,Cosmos-2I (63S1),Cosmos 26,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,06/06/1964,06:00:00,Cosmos-2I (63S1),Cosmos 31,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,30/07/1964,03:36:00,Cosmos-2I (63S1),Cosmos 36,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,22/08/1964,11:02:00,Cosmos-2I (63S1),Cosmos 42 & 43,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,24/10/1964,05:16:00,Cosmos-2I (63S1),Cosmos 49,Retired,,Success,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,01/12/1964,,Cosmos-2I (63S1),DS-2 #2,Retired,,Failure,Mayak-2, Kapustin Yar,, Russia
RVSN USSR,09/12/1964,23:02:00,Cosmos-2I (63S1),Cosmos 51,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,30/01/1965,09:36:00,Cosmos-2I (63S1),Cosmos 53,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,12/02/1965,12:00:00,Cosmos-2I (63S1),DS-P1 You #2,Retired,,Failure,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,20/02/1965,06:30:00,Cosmos-2I (63S1),DS-A1 #6,Retired,,Failure,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,02/07/1965,06:30:00,Cosmos-2I (63S1),Cosmos 70,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,23/07/1965,04:33:00,Cosmos-2I (63S1),Cosmos 76,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,19/10/1965,05:44:00,Cosmos-2I (63SM),Cosmos 93,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
US Air Force,04/11/1965,05:31:00,Cosmos-2I (63SM),Cosmos 95,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,26/11/1965,12:14:00,Cosmos-2I (63SM),Cosmos 97,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,21/12/1965,06:14:00,Cosmos-2I (63S1),Cosmos 101,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RAE,28/12/1965,,Cosmos-2I (63S1),DS-K40 #1,Retired,,Failure,Site 86/1, Kapustin Yar,, Russia
Martin Marietta,25/01/1966,12:28:00,Cosmos-2I (63SM),Cosmos 106,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,11/02/1966,18:00:00,Cosmos-2I (63S1),Cosmos 108,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,21/02/1966,,Cosmos-2I (63S1),DS-K40 #2,Retired,,Failure,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,17/03/1966,10:28:00,Vostok-2,Cosmos 112,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,06/04/1966,11:40:00,Voskhod,Cosmos 114,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,26/04/1966,10:04:00,Cosmos-2I (63SM),Cosmos 116,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,17/05/1966,11:00:00,Voskhod,Zenit-4 n†­18,Retired,,Failure,Site 41/1, Plesetsk Cosmodrome,, Russia
General Dynamics,24/05/1966,05:30:00,Cosmos-2I (63SM),Cosmos 119,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,17/06/1966,11:00:00,Voskhod,Cosmos 121,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,08/07/1966,05:31:00,Cosmos-2I (63S1),Cosmos 123,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,14/10/1966,12:13:00,Vostok-2,Cosmos 129,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,12/11/1966,09:51:00,Voskhod,Cosmos 131,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
ASI,12/12/1966,20:37:00,Cosmos-2I (63SM),Cosmos 135,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
CNES,19/12/1966,12:01:00,Vostok-2,Cosmos 136,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,21/12/1966,13:11:00,Cosmos-2I (63S1),Cosmos 137,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,19/01/1967,12:39:00,Vostok-2,Cosmos 138,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,08/02/1967,10:19:00,Voskhod,Cosmos 141,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,14/02/1967,10:04:00,Cosmos-2I (63SM),Cosmos 142,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,28/02/1967,14:34:00,Vostok-2M,Cosmos 144,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,03/03/1967,06:44:00,Cosmos-2I (63SM),Cosmos 145,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,13/03/1967,12:10:00,Vostok-2,Cosmos 147,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,16/03/1967,17:30:00,Cosmos-2I (63SM),Cosmos 148,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,21/03/1967,10:07:00,Cosmos-2I (63SM),Cosmos 149,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,22/03/1967,12:44:00,Voskhod,Cosmos 150,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,25/03/1967,06:59:00,Cosmos-2I (63SM),Cosmos 152,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
US Air Force,04/04/1967,14:00:00,Vostok-2,Cosmos 153,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
General Dynamics,27/04/1967,12:50:00,Vostok-2M,Cosmos 156,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,15/05/1967,11:00:00,Cosmos-3M (11K65M),Cosmos 158,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
NASA,22/05/1967,14:00:00,Voskhod,Cosmos 161,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,05/06/1967,05:03:00,Cosmos-2I (63SM),Cosmos 163,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
ISAS,08/06/1967,13:00:00,Voskhod,Cosmos 164,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,12/06/1967,18:06:00,Cosmos-2I (63SM),Cosmos 165,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,16/06/1967,04:43:00,Cosmos-2I (63SM),Cosmos 166,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
ISAS,20/06/1967,11:00:00,Voskhod,Zenit-4 n†­31,Retired,,Failure,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,26/06/1967,,Cosmos-3M (11K65M),Tselina-OM #1,Retired,,Failure,Site 132/2, Plesetsk Cosmodrome,, Russia
RVSN USSR,24/08/1967,04:59:00,Cosmos-2I (63SM),Cosmos 173,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,01/09/1967,10:30:00,Voskhod,Zenit-2 n†­51,Retired,,Failure,Site 41/1, Plesetsk Cosmodrome,, Russia
CASC,11/09/1967,10:30:00,Voskhod,Cosmos 175,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,12/09/1967,17:00:00,Cosmos-2I (63SM),Cosmos 176,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,26/09/1967,10:20:00,Voskhod,Cosmos 180,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,27/09/1967,11:00:00,Cosmos-3M (11K65M),Zaliv #2,Retired,,Failure,Site 132/2, Plesetsk Cosmodrome,, Russia
RVSN USSR,11/10/1967,11:30:00,Voskhod,Cosmos 181,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
Martin Marietta,24/10/1967,22:49:00,Vostok-2M,Cosmos 184,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,30/10/1967,18:00:00,Cosmos-3M (11K65M),Cosmos 189,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
RVSN USSR,03/11/1967,11:20:00,Voskhod,Cosmos 190,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,21/11/1967,14:29:00,Cosmos-2I (63SM),Cosmos 191,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,23/11/1967,15:00:00,Cosmos-3M (11K65M),Cosmos 192,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
RVSN USSR,25/11/1967,11:30:00,Voskhod,Cosmos 193,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,03/12/1967,12:00:00,Voskhod,Cosmos 194,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
CNES,16/12/1967,12:00:00,Voskhod,Cosmos 195,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,19/12/1967,06:30:00,Cosmos-2I (63S1),Cosmos 196,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,26/12/1967,09:01:00,Cosmos-2I (63SM),Cosmos 197,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,16/01/1968,12:00:00,Voskhod,Cosmos 199,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
US Air Force,19/01/1968,22:00:00,Cosmos-3M (11K65M),Cosmos 200,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
RVSN USSR,20/02/1968,10:03:00,Cosmos-2I (63SM),Cosmos 202,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
ASI,20/02/1968,16:00:00,Cosmos-3M (11K65M),Cosmos 203,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
RVSN USSR,05/03/1968,11:20:00,Cosmos-2I (63SM),Cosmos 204,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,05/03/1968,12:30:00,Voskhod,Cosmos 205,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
Martin Marietta,06/03/1968,,Cosmos-2I (63SM),DS-U1-Ya #1,Retired,,Failure,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,14/03/1968,09:34:00,Vostok-2M,Cosmos 206,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,16/03/1968,12:30:00,Voskhod,Cosmos 207,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
General Dynamics,03/04/1968,11:00:00,Voskhod,Cosmos 210,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,09/04/1968,11:26:00,Cosmos-2I (63SM),Cosmos 211,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,18/04/1968,10:30:00,Voskhod,Cosmos 214,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,18/04/1968,22:29:00,Cosmos-2I (63SM),Cosmos 215,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,26/04/1968,04:42:00,Cosmos-2I (63SM),Cosmos 219,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,07/05/1968,13:57:00,Cosmos-3M (11K65M),Cosmos 220,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
RVSN USSR,24/05/1968,07:04:00,Cosmos-2I (63SM),Cosmos 221,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,30/05/1968,20:29:00,Cosmos-2I (63SM),Cosmos 222,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,01/06/1968,10:50:00,Voskhod,Cosmos 223,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,04/06/1968,18:45:00,Cosmos-3M (11K65M),Sfera #2,Retired,,Failure,Site 132/2, Plesetsk Cosmodrome,, Russia
General Dynamics,11/06/1968,21:29:00,Cosmos-2I (63SM),Cosmos 225,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,12/06/1968,13:14:00,Vostok-2M,Cosmos 226,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,26/06/1968,11:00:00,Voskhod,Cosmos 229,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,05/07/1968,06:59:00,Cosmos-2I (63SM),Cosmos 230,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,16/07/1968,13:10:00,Voskhod,Cosmos 232,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
Martin Marietta,18/07/1968,19:59:00,Cosmos-2I (63SM),Cosmos 233,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,27/08/1968,12:59:00,Voskhod,Cosmos 237,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,16/09/1968,12:30:00,Voskhod,Cosmos 241,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,20/09/1968,14:39:00,Cosmos-2I (63SM),Cosmos 242,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,03/10/1968,12:59:00,Cosmos-2I (63SM),Cosmos 245,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,07/10/1968,12:05:00,Voskhod,Cosmos 246,Retired,,Partial Failure,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,11/10/1968,12:05:00,Voskhod,Cosmos 247,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,30/10/1968,22:00:00,Cosmos-3M (11K65M),Cosmos 250,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
NASA,13/11/1968,12:00:00,Voskhod,Cosmos 253,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,21/11/1968,12:10:00,Voskhod,Cosmos 254,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,29/11/1968,12:40:00,Voskhod,Cosmos 255,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,30/11/1968,12:00:00,Cosmos-3M (11K65M),Cosmos 256,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
RVSN USSR,03/12/1968,14:52:00,Cosmos-2I (63SM),Cosmos 257,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,14/12/1968,05:09:00,Cosmos-2I (63SM),Cosmos 259,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
General Dynamics,19/12/1968,23:55:00,Cosmos-2I (63SM),Cosmos 261,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,26/12/1968,09:45:00,Cosmos-2I (63SM),Cosmos 262,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
US Air Force,12/01/1969,12:10:00,Voskhod,Cosmos 263,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,01/02/1969,12:11:00,Vostok-2M,Meteor n†­11,Retired,,Failure,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,07/02/1969,13:59:00,Cosmos-2I (63SM),Cosmos 265,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,25/02/1969,10:20:00,Voskhod,Cosmos 266,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,05/03/1969,13:04:00,Cosmos-2I (63SM),Cosmos 268,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,05/03/1969,17:25:00,Cosmos-3M (11K65M),Cosmos 269,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
RVSN USSR,06/03/1969,12:15:00,Voskhod,Cosmos 270,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,15/03/1969,12:15:00,Voskhod,Cosmos 271,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,17/03/1969,16:40:00,Cosmos-3M (11K65M),Cosmos 272,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
ISAS,22/03/1969,12:15:00,Voskhod,Cosmos 273,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,26/03/1969,12:30:00,Vostok-2M,Meteor n†­12,Retired,,Failure,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,28/03/1969,16:00:00,Cosmos-2I (63SM),Cosmos 275,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,04/04/1969,10:20:00,Voskhod,Cosmos 276,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,04/04/1969,13:00:00,Cosmos-2I (63SM),Cosmos 277,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,09/04/1969,13:00:00,Voskhod,Cosmos 278,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,13/05/1969,09:15:00,Voskhod,Cosmos 281,Retired,,Partial Failure,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,20/05/1969,08:40:00,Voskhod,Cosmos 282,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
US Air Force,27/05/1969,13:00:00,Cosmos-2I (63SM),Cosmos 283,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RAE,03/06/1969,12:57:00,Cosmos-2I (63SM),Cosmos 285,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,12/06/1969,06:00:00,Cosmos-3MRB (65MRB),BOR-2 Shuttle,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
Martin Marietta,15/06/1969,08:59:00,Voskhod,Cosmos 286,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
CECLES,10/07/1969,09:00:00,Voskhod,Cosmos 289,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
ASI,22/07/1969,12:30:00,Voskhod,Cosmos 290,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,23/07/1969,09:00:00,Cosmos-2I (63SM),DS-P1-You #23,Retired,,Failure,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,13/08/1969,22:00:00,Cosmos-3M (11K65M),Cosmos 292,Retired,,Success,Site 132/2, Plesetsk Cosmodrome,, Russia
RVSN USSR,19/08/1969,13:00:00,Voskhod,Cosmos 294,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,22/08/1969,14:14:00,Cosmos-2I (63SM),Cosmos 295,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,02/09/1969,11:00:00,Voskhod,Cosmos 297,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,24/09/1969,12:15:00,Voskhod,Cosmos 301,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,06/10/1969,01:45:00,Vostok-2M,Meteor n†­13,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,14/10/1969,13:19:00,Cosmos-2I (63SM),Intercosmos-1,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,17/10/1969,11:45:00,Voskhod,Cosmos 302,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,18/10/1969,10:00:00,Cosmos-2I (63SM),Cosmos 303,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,21/10/1969,12:49:00,Cosmos-3M (11K65M),Cosmos 304,Retired,,Success,Site 132/1, Plesetsk Cosmodrome,, Russia
General Dynamics,24/10/1969,13:01:00,Cosmos-2I (63SM),Cosmos 307,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
CNES,04/11/1969,12:00:00,Cosmos-2I (63SM),Cosmos 308,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,12/11/1969,11:30:00,Voskhod,Cosmos 309,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,24/11/1969,11:04:00,Cosmos-2I (63SM),Cosmos 311,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,24/11/1969,16:49:00,Cosmos-3M (11K65M),Cosmos 312,Retired,,Success,Site 132/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,03/12/1969,13:20:00,Voskhod,Cosmos 313,Retired,,Success,Site 43/4, Plesetsk Cosmodrome,, Russia
RVSN USSR,11/12/1969,12:59:00,Cosmos-2I (63SM),Cosmos 314,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,20/12/1969,03:26:00,Cosmos-3M (11K65M),Cosmos 315,Retired,,Success,Site 132/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,23/12/1969,13:50:00,Voskhod,Cosmos 317,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
General Dynamics,25/12/1969,09:59:00,Cosmos-2I (63SM),Intercosmos-2,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,27/12/1969,14:20:00,Cosmos-3M (11K65M),Ionosfernaya #1,Retired,,Failure,Site 132/1, Plesetsk Cosmodrome,, Russia
RVSN USSR,15/01/1970,13:40:00,Cosmos-2I (63SM),Cosmos 319,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,16/01/1970,10:59:00,Cosmos-2I (63SM),Cosmos 320,Retired,,Success,Site 86/1, Kapustin Yar,, Russia
RVSN USSR,20/01/1970,20:20:00,Cosmos-2I (63SM),Cosmos 321,Retired,,Success,Site 133/3, Plesetsk Cosmodrome,, Russia
RVSN USSR,21/01/1970,12:00:00,Voskhod,Cosmos 322,Retired,,Success,Site 41/1, Plesetsk Cosmodrome,, Russia
