,name,diet,lived_in,type,period_name
251,segnosaurus,carnivorous,Mongolia,large theropod,Late Cretaceous
252,shamosaurus,herbivorous,Mongolia,armoured dinosaur,Early Cretaceous
253,shanag,carnivorous,Mongolia,small theropod,Early Cretaceous
254,shantungosaurus,herbivorous,China,euornithopod,Late Cretaceous
255,shunosaurus,herbivorous,China,sauropod,Mid Jurassic
256,shuvuuia,omnivorous,Mongolia,small theropod,Late Cretaceous
257,silvisaurus,herbivorous,USA,armoured dinosaur,Early Cretaceous
258,sinocalliopteryx,carnivorous,China,small theropod,Early Cretaceous
259,sinornithosaurus,carnivorous,China,small theropod,Early Cretaceous
260,sinosauropteryx,carnivorous,China,small theropod,Early Cretaceous
261,sinovenator,carnivorous,China,small theropod,Early Cretaceous
262,sinraptor,carnivorous,China,large theropod,Mid Jurassic
263,sonidosaurus,herbivorous,China,sauropod,Late Cretaceous
264,spinosaurus,carnivorous,Morocco,large theropod,Late Cretaceous
265,staurikosaurus,carnivorous,Brazil,large theropod,Late Triassic
266,stegoceras,herbivorous,USA,euornithopod,Late Cretaceous
267,stegosaurus,herbivorous,USA,armoured dinosaur,Late Jurassic
268,stenopelix,herbivorous,Germany,ceratopsian,Early Cretaceous
269,struthiomimus,omnivorous,Canada,small theropod,Late Cretaceous
270,struthiosaurus,herbivorous,Spain,armoured dinosaur,Late Cretaceous
271,styracosaurus,herbivorous,USA,ceratopsian,Late Cretaceous
272,suchomimus,carnivorous,Niger,large theropod,Early Cretaceous
273,supersaurus,herbivorous,USA,sauropod,Early Cretaceous
274,talarurus,herbivorous,Mongolia,armoured dinosaur,Late Cretaceous
275,tanius,herbivorous,China,euornithopod,Late Cretaceous
276,tarbosaurus,carnivorous,Mongolia,large theropod,Late Cretaceous
277,tarchia,herbivorous,Mongolia,armoured dinosaur,Late Cretaceous
278,telmatosaurus,herbivorous,Spain,euornithopod,Late Cretaceous
279,tenontosaurus,herbivorous,USA,euornithopod,Early Cretaceous
280,thecodontosaurus,omnivorous,United Kingdom,sauropod,Late Triassic
281,therizinosaurus,unknown,Mongolia,large theropod,Late Cretaceous
282,thescelosaurus,herbivorous,USA,euornithopod,Late Cretaceous
283,torosaurus,herbivorous,USA,ceratopsian,Late Cretaceous
