name,diet,lived_in,type,taxonomy,species,period_name,period_start,period_end,length_meters
aardonyx,herbivorous,South Africa,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,celestae,Early Jurassic,199,189,8
abelisaurus,carnivorous,Argentina,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,comahuensis,Late Cretaceous,74,70,9
achelousaurus,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,horneri,Late Cretaceous,83,70,6
achillobator,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,giganteus,Late Cretaceous,99,84,5
acrocanthosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,atokensis,Early Cretaceous,115,105,12
aegyptosaurus,herbivorous,Egypt,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,baharijensis,Late Cretaceous,98,93,15
afrovenator,carnivorous,Niger,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,abakensis,Early Cretaceous,132,121,9
agilisaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,louderbacki,Late Jurassic,169,159,1.5
alamosaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,sanjuanensis,Late Cretaceous,70,65,21
albertaceratops,herbivorous,USA,ceratopsian,Dinosauria Ornithischia,nesmoi,Late Cretaceous,80,75,7
albertosaurus,carnivorous,Canada,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,libratus,Late Cretaceous,76,74,9
alectrosaurus,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,olseni,Late Cretaceous,90,70,5
alioramus,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,remotus,Late Cretaceous,71,65,6
allosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,fragilis,Late Jurassic,156,144,12
alvarezsaurus,carnivorous,Argentina,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,calvoi,Late Cretaceous,89,85,2
amargasaurus,herbivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,cazaui,Early Cretaceous,132,127,12
ammosaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,major,Early Jurassic,195,180,5
ampelosaurus,herbivorous,France,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,atacis,Late Cretaceous,71,65,15
amygdalodon,herbivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,patagonicus,Mid Jurassic,177,169,15
anchiceratops,herbivorous,Canada,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,ornatus,Late Cretaceous,74,70,6
anchisaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,polyzelous,Early Jurassic,190,190,2
ankylosaurus,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,magniventris,Late Cretaceous,74,67,7
anserimimus,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,planinychus,Late Cretaceous,84,65,3.5
antarctosaurus,herbivorous,Uruguay,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,wichmannianus,Late Cretaceous,84,65,18
apatosaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,ajax,Late Jurassic,154,145,21
aragosaurus,herbivorous,Spain,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,ischiadicus,Early Cretaceous,132,121,18
aralosaurus,herbivorous,Kazakhstan,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,tuberiferus,Late Cretaceous,94,84,8
archaeoceratops,herbivorous,China,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,oshimai,Early Cretaceous,121,99,1.3
archaeopteryx,carnivorous,Germany,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Archaeopterygidae,lithographica,Late Jurassic,147,147,0.5
archaeornithomimus,carnivorous,Uzbekistan,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,asiaticus,Late Cretaceous,95,70,3.5
argentinosaurus,herbivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,huinculensis,Late Cretaceous,90,90,35
arrhinoceratops,herbivorous,Canada,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,brachyops,Late Cretaceous,72,67,6
atlascopcosaurus,herbivorous,Australia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,loadsi,Early Cretaceous,121,97,3
aucasaurus,carnivorous,Argentina,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,garridoi,Late Cretaceous,84,71,5
austrosaurus,herbivorous,Australia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,mckillopi,Early Cretaceous,112,99,15
avaceratops,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,lammersi,Late Cretaceous,80,75,2.3
avimimus,omnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,portentosus,Late Cretaceous,80,75,1.5
bactrosaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,johnsoni,Late Cretaceous,84,71,6
bagaceratops,herbivorous,Mongolia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,rozhdestvenskyi,Late Cretaceous,85,80,1
bambiraptor,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,feinbergorum,Late Cretaceous,84,71,1
barapasaurus,herbivorous,India,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,tagorei,Early Jurassic,185,170,14
barosaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,lentus,Late Jurassic,155,145,24
baryonyx,carnivorous,United Kingdom,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,walkeri,Early Cretaceous,125,125,10
becklespinax,carnivorous,United Kingdom,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,altispinax,Early Cretaceous,142,132,5
beipiaosaurus,omnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,inexpectus,Early Cretaceous,127,121,2
bellusaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,sui,Mid Jurassic,180,159,5
borogovia,carnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,gracilicrus,Late Cretaceous,84,65,1.5
brachiosaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,altithorax,Late Jurassic,155,140,30
brachylophosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,canadensis,Late Cretaceous,89,88,7
brachytrachelopan,herbivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,mesai,Mid Jurassic,150,150,10
buitreraptor,carnivorous,Argentina,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,gonzalezorum,Late Cretaceous,99,90,1.3
camarasaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,supremus,Late Jurassic,150,140,23
camptosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,dispar,Late Jurassic,155,145,5
carcharodontosaurus,carnivorous,North Africa,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,saharicus,Late Cretaceous,98,94,15
carnotaurus,carnivorous,Argentina,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,sastrei,Late Cretaceous,70,70,7.6
caudipteryx,omnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caudipterygidae,zoui,Early Cretaceous,125,122,1
cedarpelta,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,bilbeyhallorum,Early Cretaceous,142,127,10
centrosaurus,herbivorous,Canada,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,apertus,Late Cretaceous,76,74,6
ceratosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,nasicornis,Late Jurassic,153,148,6
cetiosauriscus,herbivorous,United Kingdom,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea,stewarti,Mid Jurassic,175,160,15
cetiosaurus,herbivorous,United Kingdom,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,oxoniensis,Mid Jurassic,170,160,18
chaoyangsaurus,herbivorous,China,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,youngi,Late Jurassic,152,145,1.1
chasmosaurus,herbivorous,Canada,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,belli,Late Cretaceous,76,74,5
chindesaurus,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Herrerasauridae,bryansmalli,Late Triassic,227,210,4
chinshakiangosaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda,zhongheensis,Late Jurassic,159,142,11
chirostenotes,omnivorous,Canada,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,pergracilis,Late Jurassic,79,67,1.7
chubutisaurus,herbivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,insignis,Early Cretaceous,112,99,23
chungkingosaurus,herbivorous,China,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,jiangbeiensis,Late Jurassic,159,142,4
citipati,omnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,osmolskae,Late Cretaceous,81,75,2.1
coelophysis,carnivorous,Zimbabwe,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,bauri,Late Triassic,225,190,2
coelurus,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,fragilis,Late Jurassic,155,145,1.8
coloradisaurus,omnivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,brevis,Late Triassic,221,210,4
compsognathus,carnivorous,Germany,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,longipes,Late Jurassic,145,140,0.65
conchoraptor,carnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,gracilis,Late Cretaceous,81,76,1.5
confuciusornis,carnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Ornithurae Avibrevicauda Pygostylia Confuciusornithidae,sanctus,Early Cretaceous,127,121,0.25
corythosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,casuarius,Late Cretaceous,76,74,10
cryolophosaurus,carnivorous,Antarctica,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,elliotti,Early Jurassic,170,170,8
dacentrurus,herbivorous,United Kingdom,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae,armatus,Late Jurassic,154,150,6
daspletosaurus,carnivorous,Canada,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,torosus,Late Cretaceous,76,74,9
datousaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda,bashanensis,Mid Jurassic,170,170,15
deinocheirus,omnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,mirificus,Late Cretaceous,70,66,10
deinonychus,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,antirrhopus,Early Cretaceous,120,110,3
deltadromeus,carnivorous,Morocco,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,agilis,Late Cretaceous,99,94,8.1
dicraeosaurus,herbivorous,Tanzania,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,hansemanni,Late Jurassic,150,135,20
dilophosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Dilophosauridae,wetherilli,Early Jurassic,190,190,6
diplodocus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,longus,Late Jurassic,155,145,26
dromaeosaurus,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,albertensis,Late Cretaceous,76,74,1.8
dromiceiomimus,omnivorous,Canada,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,brevitertius,Late Cretaceous,74,70,3.5
dryosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,altus,Late Jurassic,155,140,4
dryptosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,aquilunguis,Late Cretaceous,84,65,6.4
